Row,udp,select,bin,run,poll,media,sys,dev,etc,usr,root,host,brk,boot,mkdir,write,connect,tcp,clone_API,proc,read,var,network_http,File_IO,kill_API,accept,home,munmap,mnt,opt,rename,srv,mmap,chdir_API,network_connection,execve_API,Normal,Attack
0 ,0,18,0,0,14,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,0,83,4,128,0,3,0,8,0,0,0,0,8,4,160,0,1 ,0 
0 ,0,20,0,0,60,0,0,4,221,0,0,0,0,0,0,0,4,0,6,0,0,151,14,427,0,16,0,54,0,0,0,0,96,16,694,3,1 ,0 
0 ,0,18,0,0,49,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,115,10,235,0,8,0,24,0,0,0,0,24,12,576,0,1 ,0 
0 ,0,23,0,0,52,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,111,10,231,0,10,0,24,0,0,0,0,24,12,577,0,1 ,0 
0 ,0,28,0,0,77,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,168,23,350,0,15,0,37,0,0,0,0,38,19,858,0,1 ,0 
0 ,0,15,0,0,42,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,96,10,179,0,8,0,16,0,0,0,0,16,10,421,0,1 ,0 
0 ,0,13,0,0,45,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,98,9,198,0,9,0,20,0,0,0,0,20,10,433,0,1 ,0 
0 ,0,12,0,0,16,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,57,4,97,0,3,0,8,0,0,0,0,8,4,191,0,1 ,0 
0 ,0,14,0,0,20,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,69,6,111,0,4,0,8,0,0,0,0,8,4,194,0,1 ,0 
0 ,0,12,0,0,17,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,72,9,112,0,3,0,8,0,0,0,0,9,5,197,0,1 ,0 
0 ,0,11,0,0,26,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,54,5,134,0,5,0,16,0,0,0,0,17,6,283,0,1 ,0 
0 ,0,10,0,0,37,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,73,6,181,0,7,0,22,0,0,0,0,22,8,408,0,1 ,0 
0 ,0,4,0,0,16,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,66,5,105,0,3,0,8,0,0,0,0,8,2,111,0,1 ,0 
0 ,0,10,0,0,18,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,43,5,85,0,3,0,8,0,0,0,0,8,4,207,0,1 ,0 
0 ,0,10,0,0,34,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,69,8,152,0,7,0,16,0,0,0,0,16,9,394,0,1 ,0 
0 ,0,6,0,0,27,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,28,3,89,0,6,0,13,0,0,0,0,12,6,334,0,1 ,0 
0 ,0,4,0,0,34,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,53,6,133,0,5,0,16,0,0,0,0,16,9,388,0,1 ,0 
0 ,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,24,0,0,0,1,0,0,0,0,0,1,2,0,1 ,0 
0 ,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,0,17,0,1 ,0 
0 ,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,0,1,0,3,0,0,0,0,0,1,13,0,1 ,0 
